Date (America/Los_Angeles),Author,Comment
"2018-04-30 16:16:19","",""
"2018-04-30 16:15:49","",""
"2017-11-10 15:41:57","AmitKukreja",""
"2017-10-05 10:18:50","",""
"2017-08-20 18:59:57","ollieqs",""
"2017-08-20 17:53:00","ollieqs",""
"2017-08-13 21:14:08","KyleYuanCDaccount",""
"2017-07-09 20:19:10","bo_slade",""
"2017-07-05 13:17:04","jonghak.won",""
"2017-06-22 17:02:21","DavidM42",""
"2017-05-18 15:55:13","azhao17",""
"2017-05-10 11:22:44","pipegod",""
"2017-05-08 16:51:38","",""
"2017-05-08 11:05:26","xavexave",""
"2017-05-07 14:26:06","",""
"2017-05-07 09:14:19","ewallach",""
"2017-05-06 20:29:34","pipegod",""
"2017-05-06 15:22:16","pipegod",""
"2017-05-06 08:18:39","",""
"2017-05-06 08:17:42","DavidM42",""
"2017-05-05 13:55:46","",""
"2017-05-05 11:02:27","DavidM42",""
"2017-05-05 10:24:55","Jboals123",""
"2017-05-05 10:23:12","spaul2000",""
"2017-05-05 09:27:35","",""
"2017-05-04 16:50:37","chrissun9",""
"2017-05-04 15:30:36","",""
"2017-05-04 11:03:17","",""
"2017-05-04 09:24:56","",""
"2017-05-04 09:22:35","",""
"2017-05-03 20:05:48","shonbullo",""
"2017-05-03 17:29:36","ishan42",""
"2017-05-03 16:37:01","",""
"2017-05-03 15:31:30","nirmalb",""
"2017-05-03 14:33:53","pipegod",""
"2017-05-03 13:55:27","whitjack",""
"2017-05-03 13:29:47","",""
"2017-05-03 12:05:54","pipegod",""
"2017-05-03 11:11:51","MuhammadKhattak",""
"2017-05-03 11:10:40","MuhammadKhattak",""
"2017-05-03 11:10:38","MuhammadKhattak",""
"2017-05-03 10:31:43","ninarpotischman",""
"2017-05-02 21:44:23","",""
"2017-05-02 20:59:30","RidgeSK",""
"2017-05-02 20:05:32","",""
"2017-05-02 19:21:31","Raffipiliero123",""
"2017-05-02 19:20:40","Raffipiliero123",""
"2017-05-02 15:59:56","",""
"2017-03-17 10:19:04","pipegod",""
"2016-05-16 13:01:08","17gbrown",""
"2016-05-09 17:13:25","alisawuffles",""
"2016-05-09 17:13:20","alisawuffles",""
"2016-05-07 21:01:06","btdroth",""
"2016-05-07 19:33:08","shivanesabharwal",""
"2016-05-07 17:38:38","AmitKukreja",""
"2016-05-07 11:56:17","",""
"2016-05-06 22:12:35","",""
"2016-05-06 19:42:47","beckert8",""
"2016-05-06 13:39:06","P_Erlanger",""
"2016-05-05 21:08:31","ccohen16",""
"2016-05-05 18:10:14","",""
"2016-05-05 18:09:46","",""
"2016-05-05 18:09:25","",""
"2016-05-05 15:15:14","neal.kapoor",""
"2016-05-05 15:09:43","neal.kapoor",""
"2016-05-05 15:09:38","neal.kapoor",""
"2016-05-05 15:09:07","neal.kapoor",""
"2016-05-05 10:51:32","ollieqs",""
"2016-05-05 08:18:47","ninarpotischman",""
"2016-05-04 21:01:15","beckert8",""
"2016-05-04 20:32:23","timeskew",""
"2016-05-04 15:13:56","LKollar42",""
"2016-05-04 14:12:33","princehyeamang101",""
"2016-05-04 14:11:38","princehyeamang101",""
"2016-05-04 11:22:23","bo_slade",""
"2016-05-03 17:58:01","FTleaks",""
"2016-05-03 16:57:40","ollieqs",""
"2016-05-03 12:17:57","valasca14",""
"2016-05-02 21:05:08","valasca14",""
"2016-05-02 19:11:42","cordermic",""
"2016-05-02 11:39:42","MiroF",""
"2016-05-02 11:39:03","MiroF",""
"2016-05-02 10:25:52","MiroF",""
"2016-05-02 10:24:40","MiroF",""
"2016-05-02 10:24:28","MiroF",""
"2016-03-21 12:49:12","",""
"2016-03-03 13:10:47","",""
"2016-02-22 11:24:45","",""
"2016-02-05 11:04:21","",""
"2016-02-05 11:03:01","",""
"2016-01-31 11:03:54","",""
"2015-09-09 12:23:28","","Reverted to Jun 28, 2015 11:21 am"
"2015-09-09 12:22:14","","Reverted to Aug 10, 2015 2:21 pm"
"2015-08-10 14:21:31","ctheis",""
"2015-06-28 11:21:05","pkukreja",""
"2015-06-23 13:47:03","DanAlessandro",""
"2015-06-20 14:32:13","rgosain",""
"2015-05-16 21:43:51","david1327",""
"2015-05-11 21:05:37","",""
"2015-05-05 17:52:06","arjuntambe",""
"2015-05-04 13:37:33","Salim.Damerdji",""
"2015-05-03 13:16:56","DanAlessandro",""
"2015-05-03 12:10:19","",""
"2015-05-03 10:31:05","rgosain",""
"2015-05-03 10:15:11","",""
"2015-05-03 08:18:55","DanAlessandro",""
"2015-05-03 08:18:50","DanAlessandro",""
"2015-05-02 22:44:59","shonbullo",""
"2015-05-02 21:11:55","timeskew",""
"2015-05-02 20:30:34","",""
"2015-05-02 20:28:37","",""
"2015-05-02 20:24:43","",""
"2015-05-02 20:10:46","DanAlessandro",""
"2015-05-02 20:10:32","ajt999",""
"2015-05-02 20:10:06","DanAlessandro",""
"2015-05-02 20:10:02","ajt999",""
"2015-05-02 20:07:57","",""
"2015-05-02 20:05:52","circuitdebater",""
"2015-05-02 20:05:07","circuitdebater",""
"2014-05-17 16:29:31","circuitdebater",""
"2014-05-10 23:04:41","circuitdebater",""
"2014-05-10 22:56:21","circuitdebater",""
"2014-05-10 22:44:13","nk1829",""
"2014-05-10 22:34:14","rprasad6471",""
"2014-05-10 22:19:15","nk1829",""
"2014-05-10 22:07:38","",""
"2014-05-10 22:06:58","",""
"2014-05-10 19:21:47","tey910",""
"2014-05-07 16:35:51","achi.srini",""
"2014-05-06 23:09:50","rprasad6471",""
"2014-05-03 20:41:38","westlakedbtr",""
"2014-05-01 12:37:42","wow119",""
"2014-05-01 10:52:40","wow119",""
"2014-04-29 10:54:45","JNails",""
"2014-04-29 08:15:32","a1jalan11",""
"2014-04-29 08:14:36","a1jalan11",""
"2014-04-29 08:02:37","a1jalan11",""
"2014-04-29 07:56:21","rteeha",""
"2014-04-29 07:10:09","Salim.Damerdji",""
"2014-04-28 19:09:19","",""
"2014-03-12 17:51:30","JNails",""
"2013-07-29 13:59:06","","Reverted to May 13, 2013 11:43 pm"
"2013-07-05 09:06:03","",""
"2013-05-13 23:43:37","",""
"2013-05-12 09:52:18","",""
"2013-05-11 14:36:09","rprasad6471",""
"2013-05-05 20:51:23","",""
"2013-05-04 07:41:37","joannidd",""
"2013-05-02 12:04:34","sreddy13",""
"2013-05-02 12:03:48","sreddy13",""
"2013-05-02 07:24:43","bdwallach",""
"2013-05-01 16:56:35","kuangrf",""
"2013-05-01 16:55:53","kuangrf",""
"2013-05-01 16:21:53","bdwallach",""
"2013-05-01 13:52:24","hoffmanadam",""
"2013-04-30 19:27:45","KentDenverSM",""
"2013-04-30 15:46:45","ajt999",""
"2013-04-30 15:41:06","shaynewalton",""
"2013-04-30 13:06:50","",""
"2013-04-30 12:34:24","ajt999",""
"2013-04-30 12:34:05","ajt999",""
"2013-04-30 12:15:33","",""
"2013-04-30 11:57:27","",""
"2013-04-30 11:56:44","",""
"2013-04-30 11:55:12","",""
"2013-04-30 10:50:19","jdurrani",""
"2013-04-29 23:43:45","tartakovsky",""
"2013-04-29 20:08:30","Jack_Ave",""
"2013-04-29 17:56:28","",""
"2013-04-29 17:55:07","",""
"2012-05-13 14:49:14","john.heizelman",""
"2012-05-09 17:23:21","cherymenthol",""
"2012-05-09 17:20:57","cherymenthol",""
"2012-05-05 12:15:53","JNails",""
"2012-05-05 11:39:51","",""
"2012-05-05 10:50:57","",""
"2012-05-05 10:19:21","r.kuang",""
"2012-05-04 21:48:32","JNails",""
"2012-05-03 21:34:44","tartakovsky",""
"2012-05-03 17:45:01","cwspence12",""
"2012-05-03 06:17:44","LexLD",""
"2012-05-03 05:57:08","LexLD",""
"2012-05-02 22:46:53","maxmccarthy",""
"2012-05-02 16:22:49","travisfife94",""
"2012-05-02 16:22:27","travisfife94",""
"2012-05-02 15:32:18","tartakovsky",""
"2012-05-02 13:42:50","AndrewEckholm",""
"2012-05-02 12:14:53","cherymenthol",""
"2012-05-02 12:13:36","cherymenthol",""
"2012-05-01 22:08:47","ronaldregan",""
"2012-05-01 19:38:31","tartakovsky",""
"2012-05-01 11:51:13","RebarNiemi",""
"2012-05-01 11:42:56","RebarNiemi",""
"2012-05-01 09:48:27","TomCameron",""
"2012-05-01 09:47:51","TomCameron",""
"2012-04-29 10:21:32","",""
"2012-04-29 10:18:59","",""
"2011-11-23 10:05:42","KSINGH0704",""
"2011-11-23 10:05:41","KSINGH0704",""
"2011-05-05 21:57:34","DoctorNick",""
"2011-05-05 21:12:29","",""
"2011-05-05 17:46:25","StevenAdler",""
"2011-05-05 12:16:30","mikefried889",""
"2011-05-05 11:28:35","liujeff1",""
"2011-05-05 11:10:12","",""
"2011-05-05 11:02:54","",""
"2010-06-14 21:33:54","",""
"2010-06-03 20:09:37","",""
"2010-06-03 20:09:12","",""
"2010-06-03 20:07:20","",""
"2010-06-03 19:54:51","DoctorNick",""
"2010-06-03 19:52:12","DoctorNick",""
"2010-06-03 19:51:46","DoctorNick",""
"2010-05-24 06:31:35","DoctorNick",""
"2010-05-18 14:39:57","DoctorNick",""
"2009-05-07 15:39:27","circuitdebater",""
"2009-05-07 13:57:23","",""
"2009-05-07 12:00:33","circuitdebater",""
"2009-05-06 18:58:24","circuitdebater",""
"2009-05-06 18:48:16","circuitdebater",""
"2009-05-06 18:43:56","circuitdebater",""
